1|1|0|1|1|1|0|0|N|O|1|1|1|D|T|e|
2|1|0|1|2|1|0|0|N|O|1|1|1|D|T|e|
3|1|0|1|3|1|0|0|N|O|1|1|1|D|T|e|
4|1|0|1|4|1|0|0|N|O|1|1|1|D|T|e|
5|2|0|1|100|438.9|0|0|N|O|1|1|1|D|T|e|
6|2|0|1|200|308.4|0|0|N|O|1|1|1|D|T|e|
7|2|0|1|300|34078.94|0|0|N|O|1|1|1|D|T|e|
8|2|0|1|400|8078.94|0|0|N|O|1|1|1|D|T|e|
9|3|0|1|100|345.94|0|0|N|O|1|1|1|D|T|e|
10|3|0|1|200|340.94|0|0|N|O|1|1|1|D|T|e|
11|3|0|1|300|230.94|0|0|N|O|1|1|1|D|T|e|
12|3|0|1|400|810.94|0|0|N|O|1|1|1|D|T|e|
13|4|0|1|100|82.94|0|0|N|O|1|1|1|D|T|e|
14|4|0|1|200|82.94|0|0|N|O|1|1|1|D|T|e|
15|4|0|1|300|82.94|0|0|N|O|1|1|1|D|T|e|
16|4|0|1|400|82.94|0|0|N|O|1|1|1|D|T|e|
17|5|0|1|100|82.94|0|0|N|O|1|1|1|D|T|e|
18|5|0|1|200|82.94|0|0|N|O|1|1|1|D|T|e|
19|5|0|1|300|82.94|0|0|N|O|1|1|1|D|T|e|
20|5|0|1|400|82.94|0|0|N|O|1|1|1|D|T|e|
21|6|0|1|100|82.94|0|0|N|O|1|1|1|D|T|e|
22|6|0|1|200|82.94|0|0|N|O|1|1|1|D|T|e|
23|6|0|1|300|82.94|0|0|N|O|1|1|1|D|T|e|
24|6|0|1|400|82.94|0|0|N|O|1|1|1|D|T|e|
25|7|0|1|100|82.94|0|0|N|O|1|1|1|D|T|e|
26|7|0|1|200|82.94|0|0|N|O|1|1|1|D|T|e|
27|7|0|1|300|82.94|0|0|N|O|1|1|1|D|T|e|
28|7|0|1|400|82.94|0|0|N|O|1|1|1|D|T|e|
29|8|0|1|1|10.00|0|0|N|O|1|1|1|D|T|e|
30|8|0|1|2|10.00|0|0|N|O|1|1|1|D|T|e|
31|8|0|1|3|10.00|0|0|N|O|1|1|1|D|T|e|
32|8|0|1|4|10.00|0|0|N|O|1|1|1|D|T|e|
